Device OS,External Campaign Name,Ad Type,Revenue €,Revenue,Margin,AP ROAS,D7 AP ROAS,2nd AP eCPX,Bids,Clicks,Reengagement Rate,Reengagements,Bid Multiplier Total,Unique Users,AP eCPX
Total,,,339724.801473,397476.024755,0.3998579966991199,1.3788167057777443,0.86074377248327,3.847932395784929,560227430,2884108,0.05725340382537686,165125,0.8938001266378549,303903,7.309231790272158
android,US_Churn_PU_250702_AOS,image,63734.8497,74555.860169,0.3998747179127654,1.210229632454911,0.6727646034756398,5.852567718737735,95515626,366377,0.07303406054419355,26758,0.6002222349461438,127249,8.54606375160477
android,US_Churn_PU_250702_AOS,video,67870.233941,79377.829886,0.3999788774501463,0.8146309373570633,0.40782228745611093,5.373169287619306,62852558,576382,0.05102345319597073,29409,0.2656948461827123,96253,12.247775017126987
android,US_Churn_PU_250702_AOS,native,51532.817532,60143.943336,0.39992790458628247,1.0952509197260945,0.665403418951566,3.9309766886274513,44892860,673124,0.038258924061539926,25753,1.2501676622964097,123259,9.285771705419176
android,US_Churn_PU_250702_AOS,template,8670.496962,10208.391102,0.3997485496149119,0.4975984526502623,0.25455909490231593,10.188015071856288,19529678,27687,0.07610069707805107,2107,0.777326645631331,65454,21.223266324324324
android,US_Churn_PU_250702_AOS,null,0,0,0,0,0,0,0,0,0,0,0,3555,0
android,KR_Churn_PU_250702_AOS,template,17497.888,20440.208375,0.3995605878263708,1.3056497891631265,0.6596874070744995,4.049169646394612,125600938,112402,0.06111990889841818,6870,1.5638053462626211,96454,7.427401299055233
android,KR_Churn_PU_250702_AOS,image,57010.695166,66746.627043,0.39975081604673235,1.1007650291804547,0.6029912352568839,5.192673645791193,79139721,314791,0.062416015705658676,19648,0.5710289058259379,110486,9.419507062235395
android,KR_Churn_PU_250702_AOS,video,32884.327821,38482.731002,0.3999502699763577,1.6922509773017993,0.8394012803379418,1.9371152220879895,61532729,492174,0.05818877063802639,28639,0.7508539869895905,101702,5.528333716707369
android,KR_Churn_PU_250702_AOS,native,31329.449697,36737.500759,0.39973088781062094,0.9549115309505336,0.5365213818808175,4.35588104801992,53775983,228689,0.05612425608577588,12835,0.9318043681321455,107751,10.875518282711663
android,KR_Churn_PU_250702_AOS,null,0,0,0,0,0,0,0,0,0,0,0,6809,0
android,null,null,0,0,0,0,0,0,0,0,0,0,0,1,0
android,KR_CRK_Churn_NPU_Login_211209_AOS,null,0,0,0,0,0,0,0,0,0,0,0,1,0
android,KR_CRO_Churn_PU_211209_AOS,null,0,0,0,0,0,0,0,0,0,0,0,1,0
ios,US_Churn_PU_250702_iOS,video,4389.806292,5151.003692,0.39996970326452846,2.2668669308108047,1.2339450250621673,2.0939039398373986,7317227,42454,0.1158665850096575,4919,0.7619485496349916,48201,4.436695686477175
ios,US_Churn_PU_250702_iOS,image,2539.250537,2976.281155,0.39977938065116575,2.7880770911893675,1.3627426693737075,1.4309044014423078,6475341,25706,0.1921730335330273,4940,1.3301706226745431,47674,3.2245732990249185
ios,US_Churn_PU_250702_iOS,native,152.865998,179.378306,0.39960558135367685,2.518770923799549,1.3371717953916737,1.4703139836065573,1111380,1918,0.16058394160583941,308,1.1879376720833559,21106,3.8995283913043477
ios,US_Churn_PU_250702_iOS,null,0,0,0,0,0,0,0,0,0,0,0,426,0
ios,KR_Churn_PU_250702_iOS,video,1555.6733,1823.866103,0.39997694181676835,0.6742638258302691,0.37010007628208313,3.474030672380952,1280516,15661,0.11614839409999361,1819,0.8064614186780953,16912,12.407252401360543
ios,KR_Churn_PU_250702_iOS,image,476.653313,558.756669,0.3996445987148735,0.8374777036323673,0.39040207405418786,3.72504446,984824,5704,0.16497194950911642,941,0.7804480597548394,15528,6.732008060240964
ios,KR_Churn_PU_250702_iOS,native,80.221149,94.136158,0.3996015938390511,0.5804806909459749,0.2937134445680901,3.4865243703703706,218289,1043,0.1716203259827421,179,0.7758924178497313,9558,10.459573111111112
ios,KR_Churn_PU_250702_iOS,null,0,0,0,0,0,0,0,0,0,0,0,47,0
ios,null,null,0,0,0,0,0,0,0,0,0,0,0,1,0
ios,KR_CRK_Churn_PU_iOS,null,0,0,0,0,0,0,0,0,0,0,0,2,0
ios,KR_Churn_PU_210629_iOS,null,0,0,0,0,0,0,0,0,0,0,0,2,0
